title,total_sales,critic_score
Armored Core: Master of Arena,0.26,7.2
Armored Core: Project Phantasma,0.28,7.2
Armorines: Project S.W.A.R.M.,0.34,4.7
Army Men Advance,0.0,6.1
Army Men: Air Combat,0.24,7.6
Army Men: Air Combat - The Elite Missions,0.01,3.8
Army Men: Operation Green,0.0,6.2
Army Men: RTS,0.18,6.5
Army Men: Sarge's Heroes,0.81,4.2
Army Men: Sarge's Heroes 2,0.42,6.0
Army of Two,2.8099999999999996,7.050000000000001
Army of Two: The 40th Day,2.16,6.333333333333333
Around the World in 80 Days,0.05,3.5
Ashes Cricket 2009,0.17,6.8
Asphalt 3D,0.49,4.0
Asphalt: Urban GT,0.59,5.0
Assassin's Creed,11.29,8.0
Assassin's Creed II,11.41,8.866666666666667
Assassin's Creed II: Discovery,0.28,7.3
Assassin's Creed III,7.75,8.366666666666667
Assassin's Creed IV: Black Flag,13.709999999999999,8.466666666666667
Assassin's Creed Odyssey,3.18,9.5
Assassin's Creed Rogue Remastered,0.04,6.0
Assassin's Creed Syndicate,3.6,8.6
Assassin's Creed: Altair's Chronicles,0.05,5.7
Assassin's Creed: Bloodlines,1.26,6.3
Assassin's Creed: Brotherhood,6.97,8.966666666666667
Assassin's Creed: Revelations,8.45,8.350000000000001
Assetto Corsa,0.02,6.0
Asterix and Obelix XXL2,0.06,6.5
Asteroids Hyper 64,0.16,5.6
Astonishia Story,0.03,4.8
Astro Bot Rescue Mission,0.71,8.5
Astro Boy: Omega Factor,0.09,8.8
Astro Boy: The Video Game,0.36,5.425
Atari Anniversary Advance,0.18,7.7
Atelier Iris 2: The Azoth Of Destiny,0.06,6.8
Atelier Iris 3: Grand Phantasm (US Sales),0.29,6.1
Atelier Iris: Eternal Mana,0.15,7.2
Atelier Rorona: Alchemist of Arland,0.48,6.4
Atelier Totori: The Adventurer of Arland,0.43,7.8
Atomic Betty,0.03,6.0
Attack on Titan 2,0.54,7.266666666666667
Auto Modellista,0.03,5.9
Avalon Code,0.24,7.1
Avatar: The Last Airbender,0.61,5.75
Axiom Verge,0.17,7.5
Azure Dreams,0.13,7.4
BIT.TRIP COMPLETE,0.09,8.1
BIT.TRIP SAGA,0.14,7.5
BUZZ! Quiz World,0.92,7.8
Babysitting Mama,0.49,3.8
Back to the Future: The Game,0.05,7.55
BackTrack,0.0,5.2
Backbreaker,0.18,5.2
Backstreet Billiards,0.34,7.2
Backyard Basketball,0.18,6.0
Backyard Hockey,0.2,6.0
Backyard NFL Football 2006,0.03,5.5
Backyard Wrestling: Don't Try This at Home,0.77,6.0
Bad Boys: Miami Takedown,0.05,4.3
Baja: Edge of Control,0.41000000000000003,5.0
Bakugan: Battle Brawlers,1.38,6.4
Baldur's Gate: Dark Alliance,0.17,7.85
Baldur's Gate: Dark Alliance II,0.68,7.8
Ballistic,0.04,7.9
Ballistic: Ecks vs. Sever,0.1,7.3
Band Hero,3.38,6.9799999999999995
Bangai-O Spirits,0.08,8.4
Banjo-Kazooie,0.01,7.0
Banjo-Kazooie: Grunty's Revenge,0.33,6.6
Banjo-Kazooie: Nuts & Bolts,0.76,8.0
Banjo-Pilot,0.1,6.2
Barbie Groovy Games,0.56,3.0
Barbie as The Island Princess,0.23,5.5
Barbie as the Princess and the Pauper,0.02,6.0
Barnyard,0.05,5.6
Baroque,0.08,5.2
Baseball Advance,0.13,8.3
Bass Hunter 64,0.31,6.0
Baten Kaitos Origins,0.1,7.5
Baten Kaitos: Eternal Wings and the Lost Ocean,0.27,8.2
Batman & Robin,0.11,5.4
Batman Begins,0.17,6.3
Batman Beyond: Return of the Joker,0.09,2.0
Batman Forever: The Arcade Game,0.03,5.2
Batman: Arkham Asylum,7.82,9.05
Batman: Arkham City,10.29,9.55
Batman: Arkham City Armored Edition,0.37,8.6
Batman: Arkham Knight,4.11,8.1
Batman: Arkham Origins Blackgate,0.27,7.0
Batman: Dark Tomorrow,0.08,2.3
Batman: Rise of Sin Tzu,0.07,5.5
Batman: The Brave and the Bold the Videogame,0.5800000000000001,7.5
Batman: Vengeance,0.99,6.766666666666667
Battalion Wars 2,0.34,7.7
Battle B-Daman,0.01,6.0
Battle Chasers: Nightwar,0.05,8.5
Battle Fantasia,0.09999999999999999,7.0
BattleBots: Beyond the BattleBox,0.06,5.8
Battlebots: Design & Destroy,0.44,4.0
Battlefield 1,13.16,9.166666666666666
Battlefield 2: Modern Combat,1.4100000000000001,7.633333333333333
Battlefield 3,17.32,8.633333333333333
Battlefield 4,11.120000000000001,8.566666666666666
Battlefield: Bad Company,2.8,8.6
Battlefield: Bad Company 2,7.16,8.9
Battles of Prince of Persia,0.12,5.6
Battlestations: Midway,0.01,7.7
Battlezone: Rise of the Black Dogs,0.07,7.3
Bayonetta,2.14,8.75
Beach Spikers: Virtua Beach Volleyball,0.1,7.1
Beaterator,0.11,7.9
Beautiful Katamari,0.32,7.3
Bee Movie Game,0.62,6.4
Beetle Adventure Racing!,0.62,9.2
Ben 10: Alien Force,0.6,5.2
Beowulf: The Game,0.4,4.9
BeyBlade VForce: Super Tournament Battle,0.21,2.5
Beyblade G-Revolution,0.2,2.4
Beyond Good & Evil,0.33,8.3
Beyond The Beyond,0.57,4.8
Big Bang Mini,0.06,8.0
Big Bumpin',0.0,6.7
Big Mutha Truckers,0.04,5.0
Billy Hatcher and the Giant Egg,0.25,7.3
Bio FREAKS,0.14,6.2
BioShock,4.27,9.45
BioShock 2,3.75,8.55
BioShock Infinite,1.82,9.5
Bionicle,0.21,4.8
Bionicle Heroes,0.28,5.88
Black,1.25,7.7
Black Sigil: Blade of the Exiled,0.05,6.0
Blacksite: Area 51,0.57,6.3
Blackthorne,0.01,7.1
Blade Strangers,0.04,8.3
Bladestorm: The Hundred Years' War,0.37,6.35
Blast Corps,0.71,9.1
Blast Radius,0.07,6.6
"Blast Works: Build, Trade, Destroy",0.1,8.2
Blaster Master: Blasting Again,0.25,7.7
Blasto,0.35,4.6
BlazBlue: Calamity Trigger,0.9299999999999999,8.5
BlazBlue: Calamity Trigger Portable,0.11,7.9
BlazBlue: Continuum Shift,0.73,8.649999999999999
BlazBlue: Continuum Shift II,0.24,6.75
BlazBlue: Cross Tag Battle,0.07,8.0
Blazing Angels 2: Secret Missions of WWII,0.29000000000000004,7.4
Blazing Angels: Squadrons of WWII,2.04,6.36
Blazing Dragons,0.15,6.6
Bleach: Shattered Blade,0.32,5.3
Bleach: Soul Resurreccion,0.51,6.7
Bleach: The Blade of Fate,0.45,8.2
Blender Bros.,0.02,7.4
Blinx 2: Masters of Time & Space,0.15,6.8
Blinx: The Time Sweeper,0.56,6.8
Blitz: The League,1.58,7.3999999999999995
Blitz: The League II,0.25,6.449999999999999
Blood Bowl,0.24000000000000002,5.966666666666666
Blood Omen: Legacy of Kain,0.44,7.8
BloodRayne,0.32,7.6
Bloody Roar,0.39,8.6
Bloody Roar II,0.46,8.2
Bloody Roar: Primal Fury,0.18,7.9
BlowOut,0.01,6.5
Blue Dragon,0.92,7.7
Blue Dragon Plus,0.21,6.5
Blue Dragon: Awakened Shadow,0.1,5.7
Blue Stinger,0.1,6.7
Blues Brothers 2000,0.05,4.9
Blur,1.3699999999999999,8.233333333333334
Body and Brain Connection,0.2,6.0
Bodycount,0.22,4.85
Boktai 2: Solar Boy Django,0.04,7.9
Boktai: The Sun is in Your Hand,0.15,7.8
Bomberman,0.15,7.3
Bomberman 64,1.04,6.1
Bomberman Fantasy Race,0.02,6.3
Bomberman Generation,0.25,8.4
Bomberman Jetters,0.08,7.2
Bomberman Land,0.23,6.25
Bomberman Max 2: Blue Advance,0.09,7.3
Bomberman Max 2: Red Advance,0.07,7.5
Bomberman Party Edition,0.12,7.9
Bomberman Tournament,0.25,8.8
Bomberman World,0.33,6.5
Bomberman: Act Zero,0.04,3.5
Book of Spells,0.66,6.5
Bookworm,0.03,6.0
Boom Blox Bash Party,0.46,8.8
